tNumRatings,tFname,contentType,institution_name,tSid,tDept,rating_class,tLname,tid,categoryType,tMiddlename,overall_rating
9,John,TEACHER,University of California Berkeley,1072,Biology,good,Taylor,335973,PROFESSOR,,4.4
12,William,TEACHER,University of California Berkeley,1072,History,good,Taylor,454980,PROFESSOR,,4.8
18,Ula,TEACHER,University of California Berkeley,1072,African-American Studies,good,Taylor,608124,PROFESSOR,,4.6
5,Lindsay,TEACHER,University of California Berkeley,1072,Psychology,good,Taylor,930380,PROFESSOR,,4.7
0,John,TEACHER,University of California Berkeley,1072,Not Specified,zero,Taylor,1790240,PROFESSOR,W.,N/A
3,Michael,TEACHER,University of California Berkeley,1072,History,good,Taylor,2267898,PROFESSOR,J.,5.0
1,Alexei,TEACHER,University of California Berkeley,1072,Business Administration,good,Tchistyi,1685746,PROFESSOR,,4.5
31,Constantin,TEACHER,University of California Berkeley,1072,Mathematics,poor,Teleman,942734,PROFESSOR,,2.0
4,Ray,TEACHER,University of California Berkeley,1072,Chicano Studies,good,Telles,1727757,PROFESSOR,,4.2
1,Raymond,TEACHER,University of California Berkeley,1072,Spanish,good,Telles,2159174,PROFESSOR,,5.0
2,Alice,TEACHER,University of California Berkeley,1072,English,average,Templeton,569516,PROFESSOR,,3.2
4,Elaine,TEACHER,University of California Berkeley,1072,German,good,Tenant,837846,PROFESSOR,,4.9
3,Paul,TEACHER,University of California Berkeley,1072,Sociology,good,Terrell,668250,PROFESSOR,,4.8
5,Marko,TEACHER,University of California Berkeley,1072,Business Administration,average,Tervio,850924,PROFESSOR,,3.2
3,Dagmar,TEACHER,University of California Berkeley,1072,German,good,Theison,1579088,PROFESSOR,,3.7
1,Grieco,TEACHER,University of California Berkeley,1072,Biology,poor,Theresa,974389,PROFESSOR,,1.0
14,Frederic E.,TEACHER,University of California Berkeley,1072,Psychology,average,Theunissen,649076,PROFESSOR,,2.8
1,Paul,TEACHER,University of California Berkeley,1072,Psychology,poor,Thiem,2223988,PROFESSOR,,2.0
13,Paul,TEACHER,University of California Berkeley,1072,Political Science,poor,Thomas,484041,PROFESSOR,,2.0
2,Krystal,TEACHER,University of California Berkeley,1072,Business Administration,good,Thomas,1851398,PROFESSOR,J,5.0
15,Charis,TEACHER,University of California Berkeley,1072,Women's Studies,good,Thompson,522880,PROFESSOR,,4.6
1,A W,TEACHER,University of California Berkeley,1072,Materials Science,poor,Thompson,800283,PROFESSOR,,1.0
2,Trina,TEACHER,University of California Berkeley,1072,Ethnic Studies,average,Thompson,2278167,PROFESSOR,,2.5
15,Glenys,TEACHER,University of California Berkeley,1072,Biology,good,Thomson,318251,PROFESSOR,,4.6
11,Emily,TEACHER,University of California Berkeley,1072,English,good,Thornbury,1548298,PROFESSOR,,4.2
13,Barrie,TEACHER,University of California Berkeley,1072,Sociology,good,Thorne,593682,PROFESSOR,,3.7
33,Jeremy,TEACHER,University of California Berkeley,1072,Biology,average,Thorner,244353,PROFESSOR,,2.7
1,Timothy,TEACHER,University of California Berkeley,1072,Statistics,average,Thornton,878470,PROFESSOR,,3.0
8,T. Don,TEACHER,University of California Berkeley,1072,Chemistry,average,Tilley,64122,PROFESSOR,,2.7
13,Paola,TEACHER,University of California Berkeley,1072,Biology,good,Timiras,244355,PROFESSOR,,4.2
9,Ed,TEACHER,University of California Berkeley,1072,Mass Communications,good,Timke,2106113,PROFESSOR,,4.3
20,Nelly,TEACHER,University of California Berkeley,1072,French,good,Timmons,633697,PROFESSOR,,4.7
3,Carolyn,TEACHER,University of California Berkeley,1072,English,good,Tipton,1138218,PROFESSOR,,4.2
22,Nate,TEACHER,University of California Berkeley,1072,Computer Science,average,Titterton,602520,PROFESSOR,,3.2
1,Justin,TEACHER,University of California Berkeley,1072,Philosophy,good,Tiwald,1463911,PROFESSOR,,5.0
